loss,mape,val_loss,val_mape
0.02075209654867649,2056829.875,0.01751123182475567,2930094.75
0.01608150266110897,1843467.125,0.015783917158842087,2988649.25
0.014387514442205429,1757447.375,0.012409507296979427,2520862.75
0.010664454661309719,1133654.25,0.008360713720321655,1202142.875
0.0073252166621387005,619223.125,0.005582245532423258,808081.25
0.005138136446475983,439911.6875,0.0038219112902879715,633720.75
0.003789043752476573,373215.875,0.002740906784310937,532691.1875
0.002708832500502467,311131.84375,0.0017389691201969981,439769.375
0.0020078152883797884,266425.28125,0.0012657252373173833,393261.0625
0.0015081919264048338,237244.234375,0.0008461604011245072,335849.375
0.0012090738164260983,212778.546875,0.0007509752176702023,295235.28125
0.0010216350201517344,182869.640625,0.0004897545441053808,276767.0
0.0009147810633294284,180970.03125,0.0006133202114142478,264979.34375
0.0007231408380903304,166614.578125,0.00036443406133912504,240940.078125
0.0006391374045051634,151944.375,0.00023008261632639915,212793.75
0.0006208905251696706,148202.90625,0.00034395160037092865,206694.578125
0.0005249119712971151,143033.28125,0.00045848454465158284,215264.875
0.0005122871953062713,140788.921875,0.0002361405495321378,204342.1875
0.0005034627392888069,136417.8125,0.00019755745597649366,215801.59375
0.0004707803309429437,133631.640625,0.00014691172691527754,186666.546875
0.00044818315654993057,128271.4609375,0.0001096431806217879,178793.8125
0.0004245183081366122,123637.59375,0.00013234393554739654,177125.65625
0.00041492030140943825,122059.5625,0.00018545544298831373,168739.703125
0.00039617076981812716,113475.9140625,0.00010928369738394395,167173.78125
0.00039302377263084054,115797.8515625,0.00010703651059884578,168734.921875
0.0004115758347325027,115788.75,0.00010289598867530003,164183.140625
0.0003701832902152091,112108.4765625,0.0001368490920867771,158008.296875
0.0003961121547035873,107038.6171875,6.867189222248271e-05,156724.0625
0.00034391062217764556,106880.8515625,6.191756256157532e-05,147517.765625
0.00033628594246692955,106076.3046875,7.75311782490462e-05,151742.921875
0.00033811276080086827,98587.2890625,6.02024192630779e-05,140226.1875
0.000344334461260587,96020.7109375,7.76977394707501e-05,142397.0
0.00032760456087999046,96554.9296875,0.00010385941277490929,141393.03125
0.0003168782277498394,94661.5390625,6.674484757240862e-05,135076.421875
0.0003150051925331354,97134.71875,9.492546814726666e-05,142668.765625
0.00030642058118246496,91595.1875,9.524988126941025e-05,131964.546875
0.00030776800122112036,93101.8515625,8.508563769282773e-05,133867.484375
0.0002974287199322134,89752.578125,6.819272675784305e-05,123539.8359375
0.0003003610472660512,87456.1875,9.350183245260268e-05,127168.9375
0.0003058814618270844,88753.625,5.730687189497985e-05,123357.8359375
0.0003032060049008578,87579.21875,0.00013650253822561353,122663.0625
0.0002939004625659436,86784.421875,9.62579797487706e-05,119079.21875
0.0002772198058664799,82160.921875,0.0001068919591489248,113749.109375
0.0002800229995045811,83241.8984375,6.56189804431051e-05,115375.109375
0.00027692801086232066,75767.3046875,5.023577614338137e-05,118100.171875
0.00028174341423437,78363.8828125,7.613589696120471e-05,119462.2734375
0.000268922041868791,80797.6015625,5.845541090820916e-05,114650.234375
0.00027228216640651226,79786.6953125,7.146356801968068e-05,114490.1796875
0.0002763273078016937,81360.40625,6.600489723496139e-05,114786.015625
0.00026484212139621377,80886.703125,6.777499220333993e-05,109336.1875
